review_id,brand,industry,review_text,rating,review_date,source,price_level,feature_category,sentiment_label,sentiment_score,aspect,region,market_share_est,competitor_type
1,ocean bites,restaurant,staff were rude and the place was not clean.,2,10/24/2025,google,2,support,negative,-0.85,support,india - bangalore,10.29,enterprise
2,freshmart,supermarket,long queues at checkout counters.,2,9/4/2024,appstore,1,support,negative,-0.61,price,sri lanka - colombo,18.93,sme
3,citygrocer,supermarket,store is okay but sometimes crowded.,4,7/9/2024,yelp,2,support,neutral,0.01,delivery,india - chennai,36.11,sme
4,freshmart,supermarket,products are available but prices are average.,4,1/14/2025,instagram,2,product,neutral,0.26,price,india - chennai,11.33,sme
5,dailyneeds,supermarket,fresh vegetables and well organized shelves.,4,5/2/2024,facebook,1,product,positive,0.55,service,sri lanka - colombo,31.15,enterprise
6,ocean bites,restaurant,"clean place and tasty meals, will visit again.",4,9/5/2024,yelp,3,product,positive,0.94,support,sri lanka - kandy,10.15,startup
7,modaline,clothing,sizes were inaccurate and returns were difficult.,1,8/31/2024,instagram,3,service,negative,-0.57,service,sri lanka - kandy,34.36,startup
8,urban threads,clothing,trendy designs and affordable prices.,5,12/21/2024,yelp,2,support,positive,0.92,service,india - bangalore,28.54,startup
9,grand tandoori,restaurant,food arrived cold and the service was slow.,2,8/20/2024,facebook,3,support,negative,-0.62,delivery,sri lanka - kandy,28.64,enterprise
10,brightpath college,academic,teachers explain concepts clearly and provide good support.,4,10/27/2025,google,1,product,positive,0.84,service,india - chennai,33.65,sme
11,stylehub,clothing,designs are decent but limited options.,4,2/5/2024,google,3,service,neutral,0.16,service,sri lanka - colombo,37.57,enterprise
12,stylehub,clothing,clothes feel comfortable and durable.,4,6/11/2025,google,3,delivery,positive,0.92,quality,sri lanka - kandy,18.02,startup
13,spice garden,restaurant,food arrived cold and the service was slow.,2,8/25/2024,instagram,2,service,negative,-0.7,service,india - chennai,18.15,startup
14,brightpath college,academic,course content is fine but could be updated.,3,2/26/2024,instagram,3,delivery,neutral,0.19,delivery,sri lanka - kandy,11.65,enterprise
15,modaline,clothing,sizes were inaccurate and returns were difficult.,2,6/28/2024,yelp,1,product,negative,-0.47,service,india - chennai,8.98,sme
16,freshmart,supermarket,wide variety of products at good prices.,5,5/29/2024,instagram,1,support,positive,0.67,support,india - chennai,21.56,enterprise
17,citygrocer,supermarket,fresh vegetables and well organized shelves.,5,8/31/2025,facebook,2,service,positive,0.82,support,sri lanka - colombo,38.52,sme
18,dailyneeds,supermarket,staff not responsive when asking for help.,2,1/14/2025,facebook,2,delivery,negative,-0.42,support,sri lanka - colombo,23.04,startup
19,citygrocer,supermarket,some items were expired on the shelf.,2,1/14/2024,appstore,1,support,negative,-0.6,delivery,sri lanka - colombo,31.58,sme
20,trendwear,clothing,clothes feel comfortable and durable.,4,2/23/2025,google,1,support,positive,0.84,experience,india - bangalore,37.36,startup
21,spice garden,restaurant,"average taste, reasonable price.",3,8/16/2024,yelp,3,delivery,neutral,-0.04,quality,sri lanka - colombo,37.07,sme
22,modaline,clothing,trendy designs and affordable prices.,5,11/10/2024,yelp,3,delivery,positive,0.94,price,india - bangalore,25.95,enterprise
23,citygrocer,supermarket,quick billing and helpful staff.,4,5/25/2024,google,1,support,positive,0.5,experience,india - chennai,10.76,enterprise
24,nextgen institute,academic,poor communication from administration.,2,10/22/2025,facebook,1,support,negative,-0.82,support,sri lanka - colombo,22.52,sme
25,ocean bites,restaurant,service was fine but a bit slow during peak hours.,4,12/15/2024,facebook,3,support,neutral,0.04,support,india - bangalore,37.05,enterprise
26,quickeats,food delivery,reliable service and accurate orders.,5,11/12/2025,facebook,3,product,positive,0.95,experience,sri lanka - colombo,25.7,sme
27,fooddash,food delivery,reliable service and accurate orders.,5,3/27/2025,instagram,2,service,positive,0.98,delivery,sri lanka - colombo,27.92,startup
